dzlabel,dzcode,lalabel,rank,vigintile,pconlabel
Culter - 01,S01006506,Aberdeen City,,14,Aberdeen South and North Kincardine
Culter - 02,S01006507,Aberdeen City,,14,Aberdeen South and North Kincardine
Culter - 03,S01006508,Aberdeen City,,17,Aberdeen South and North Kincardine
Culter - 04,S01006509,Aberdeen City,,13,Aberdeen South and North Kincardine
Culter - 05,S01006510,Aberdeen City,,12,Aberdeen South and North Kincardine
Culter - 06,S01006511,Aberdeen City,,18,Aberdeen South and North Kincardine
Culter - 07,S01006512,Aberdeen City,,17,Aberdeen South and North Kincardine
"Cults, Bieldside and Milltimber West - 01",S01006513,Aberdeen City,,18,Aberdeen South and North Kincardine
"Cults, Bieldside and Milltimber West - 02",S01006514,Aberdeen City,,20,Aberdeen South and North Kincardine
"Cults, Bieldside and Milltimber West - 03",S01006515,Aberdeen City,,19,Aberdeen South and North Kincardine
"Cults, Bieldside and Milltimber West - 04",S01006516,Aberdeen City,,18,Aberdeen South and North Kincardine
"Cults, Bieldside and Milltimber West - 05",S01006517,Aberdeen City,,17,Aberdeen South and North Kincardine
"Cults, Bieldside and Milltimber East - 01",S01006518,Aberdeen City,,20,Aberdeen South and North Kincardine
"Cults, Bieldside and Milltimber East - 02",S01006519,Aberdeen City,,18,Aberdeen South and North Kincardine
"Cults, Bieldside and Milltimber East - 03",S01006520,Aberdeen City,,19,Aberdeen South and North Kincardine
"Cults, Bieldside and Milltimber East - 04",S01006521,Aberdeen City,,19,Aberdeen South and North Kincardine
"Cults, Bieldside and Milltimber East - 05",S01006522,Aberdeen City,,20,Aberdeen South and North Kincardine
"Cults, Bieldside and Milltimber East - 06",S01006523,Aberdeen City,,19,Aberdeen South and North Kincardine
"Cults, Bieldside and Milltimber East - 07",S01006524,Aberdeen City,,12,Aberdeen South and North Kincardine
"Cults, Bieldside and Milltimber East - 08",S01006525,Aberdeen City,,18,Aberdeen South and North Kincardine
Garthdee - 01,S01006526,Aberdeen City,,8,Aberdeen South and North Kincardine
Garthdee - 02,S01006527,Aberdeen City,,6,Aberdeen South and North Kincardine
Garthdee - 03,S01006528,Aberdeen City,,12,Aberdeen South and North Kincardine
Garthdee - 04,S01006529,Aberdeen City,,12,Aberdeen South and North Kincardine
Garthdee - 05,S01006530,Aberdeen City,,7,Aberdeen South and North Kincardine
Garthdee - 06,S01006531,Aberdeen City,,5,Aberdeen South and North Kincardine
"Braeside, Mannofield, Broomhill and Seafield East - 01",S01006532,Aberdeen City,,17,Aberdeen Central
"Braeside, Mannofield, Broomhill and Seafield East - 02",S01006533,Aberdeen City,,20,Aberdeen South and North Kincardine
"Braeside, Mannofield, Broomhill and Seafield East - 03",S01006534,Aberdeen City,,20,Aberdeen Central
"Braeside, Mannofield, Broomhill and Seafield East - 04",S01006535,Aberdeen City,,20,Aberdeen Central
"Braeside, Mannofield, Broomhill and Seafield East - 05",S01006536,Aberdeen City,,17,Aberdeen Central
"Braeside, Mannofield, Broomhill and Seafield South - 01",S01006537,Aberdeen City,,20,Aberdeen South and North Kincardine
"Braeside, Mannofield, Broomhill and Seafield South - 02",S01006538,Aberdeen City,,19,Aberdeen South and North Kincardine
"Braeside, Mannofield, Broomhill and Seafield South - 03",S01006539,Aberdeen City,,20,Aberdeen South and North Kincardine
"Braeside, Mannofield, Broomhill and Seafield South - 04",S01006540,Aberdeen City,,19,Aberdeen South and North Kincardine
"Braeside, Mannofield, Broomhill and Seafield South - 05",S01006541,Aberdeen City,,19,Aberdeen South and North Kincardine
"Braeside, Mannofield, Broomhill and Seafield North - 01",S01006542,Aberdeen City,,20,Aberdeen South and North Kincardine
"Braeside, Mannofield, Broomhill and Seafield North - 02",S01006543,Aberdeen City,,20,Aberdeen South and North Kincardine
"Braeside, Mannofield, Broomhill and Seafield North - 03",S01006544,Aberdeen City,,20,Aberdeen South and North Kincardine
"Braeside, Mannofield, Broomhill and Seafield North - 04",S01006545,Aberdeen City,,19,Aberdeen South and North Kincardine
"Braeside, Mannofield, Broomhill and Seafield North - 05",S01006546,Aberdeen City,,20,Aberdeen South and North Kincardine
Hazlehead - 01,S01006547,Aberdeen City,,11,Aberdeen South and North Kincardine
Hazlehead - 02,S01006548,Aberdeen City,,19,Aberdeen South and North Kincardine
Hazlehead - 03,S01006549,Aberdeen City,,20,Aberdeen South and North Kincardine
Hazlehead - 04,S01006550,Aberdeen City,,20,Aberdeen South and North Kincardine
Hazlehead - 05,S01006551,Aberdeen City,,5,Aberdeen South and North Kincardine
Hazlehead - 06,S01006552,Aberdeen City,,18,Aberdeen South and North Kincardine
Summerhill - 01,S01006553,Aberdeen City,,15,Aberdeen South and North Kincardine
Summerhill - 02,S01006554,Aberdeen City,,12,Aberdeen Donside
Summerhill - 03,S01006555,Aberdeen City,,5,Aberdeen Donside
Summerhill - 04,S01006556,Aberdeen City,,7,Aberdeen Donside
Summerhill - 05,S01006557,Aberdeen City,,5,Aberdeen Donside
Midstocket - 01,S01006558,Aberdeen City,,20,Aberdeen Central
Midstocket - 02,S01006559,Aberdeen City,,20,Aberdeen Central
Midstocket - 03,S01006560,Aberdeen City,,20,Aberdeen Central
Midstocket - 04,S01006561,Aberdeen City,,20,Aberdeen Central
Midstocket - 05,S01006562,Aberdeen City,,14,Aberdeen Central
Midstocket - 06,S01006563,Aberdeen City,,15,Aberdeen Central
Rosemount - 01,S01006564,Aberdeen City,,11,Aberdeen Central
Rosemount - 02,S01006565,Aberdeen City,,12,Aberdeen Central
Rosemount - 03,S01006566,Aberdeen City,,18,Aberdeen Central
Rosemount - 04,S01006567,Aberdeen City,,9,Aberdeen Central
Rosemount - 05,S01006568,Aberdeen City,,18,Aberdeen Central
Rosemount - 06,S01006569,Aberdeen City,,16,Aberdeen Central
Rosemount - 07,S01006570,Aberdeen City,,20,Aberdeen Central
West End North - 01,S01006571,Aberdeen City,,19,Aberdeen Central
West End North - 02,S01006572,Aberdeen City,,20,Aberdeen Central
West End North - 03,S01006573,Aberdeen City,,20,Aberdeen Central
West End North - 04,S01006574,Aberdeen City,,20,Aberdeen Central
West End South - 01,S01006575,Aberdeen City,,20,Aberdeen Central
West End South - 02,S01006576,Aberdeen City,,19,Aberdeen Central
West End South - 03,S01006577,Aberdeen City,,20,Aberdeen Central
West End South - 04,S01006578,Aberdeen City,,17,Aberdeen Central
West End South - 05,S01006579,Aberdeen City,,19,Aberdeen Central
West End South - 06,S01006580,Aberdeen City,,19,Aberdeen Central
West End South - 07,S01006581,Aberdeen City,,20,Aberdeen Central
City Centre West - 01,S01006582,Aberdeen City,,12,Aberdeen Central
City Centre West - 02,S01006583,Aberdeen City,,16,Aberdeen Central
City Centre West - 03,S01006584,Aberdeen City,,19,Aberdeen Central
City Centre West - 04,S01006585,Aberdeen City,,8,Aberdeen Central
City Centre West - 05,S01006586,Aberdeen City,,10,Aberdeen Central
City Centre East - 01,S01006587,Aberdeen City,,6,Aberdeen Central
City Centre East - 02,S01006588,Aberdeen City,,10,Aberdeen Central
City Centre East - 03,S01006589,Aberdeen City,,11,Aberdeen Central
City Centre East - 04,S01006590,Aberdeen City,,9,Aberdeen Central
Ferryhill North - 01,S01006591,Aberdeen City,,14,Aberdeen Central
Ferryhill North - 02,S01006592,Aberdeen City,,20,Aberdeen Central
Ferryhill North - 03,S01006593,Aberdeen City,,20,Aberdeen Central
Ferryhill North - 04,S01006594,Aberdeen City,,19,Aberdeen Central
Ferryhill North - 05,S01006595,Aberdeen City,,19,Aberdeen Central
Ferryhill North - 06,S01006596,Aberdeen City,,20,Aberdeen Central
Ferryhill North - 07,S01006597,Aberdeen City,,12,Aberdeen Central
Ferryhill South - 01,S01006598,Aberdeen City,,20,Aberdeen Central
Ferryhill South - 02,S01006599,Aberdeen City,,9,Aberdeen Central
Ferryhill South - 03,S01006600,Aberdeen City,,19,Aberdeen Central
Ferryhill South - 04,S01006601,Aberdeen City,,15,Aberdeen Central
Ferryhill South - 05,S01006602,Aberdeen City,,20,Aberdeen Central
"Kincorth, Leggart and Nigg North - 01",S01006603,Aberdeen City,,4,Aberdeen South and North Kincardine
"Kincorth, Leggart and Nigg North - 02",S01006604,Aberdeen City,,10,Aberdeen South and North Kincardine
"Kincorth, Leggart and Nigg North - 03",S01006605,Aberdeen City,,5,Aberdeen South and North Kincardine
"Kincorth, Leggart and Nigg North - 04",S01006606,Aberdeen City,,12,Aberdeen South and North Kincardine
"Kincorth, Leggart and Nigg North - 05",S01006607,Aberdeen City,,10,Aberdeen South and North Kincardine
"Kincorth, Leggart and Nigg South - 01",S01006608,Aberdeen City,,16,Aberdeen South and North Kincardine
"Kincorth, Leggart and Nigg South - 02",S01006609,Aberdeen City,,9,Aberdeen South and North Kincardine
"Kincorth, Leggart and Nigg South - 03",S01006610,Aberdeen City,,8,Aberdeen South and North Kincardine
"Kincorth, Leggart and Nigg South - 04",S01006611,Aberdeen City,,9,Aberdeen South and North Kincardine
"Kincorth, Leggart and Nigg South - 05",S01006612,Aberdeen City,,14,Aberdeen South and North Kincardine
Cove South - 01,S01006613,Aberdeen City,,20,Aberdeen South and North Kincardine
Cove South - 02,S01006614,Aberdeen City,,19,Aberdeen South and North Kincardine
Cove South - 03,S01006615,Aberdeen City,,19,Aberdeen South and North Kincardine
Cove South - 04,S01006616,Aberdeen City,,19,Aberdeen South and North Kincardine
Cove South - 05,S01006617,Aberdeen City,,16,Aberdeen South and North Kincardine
Cove South - 06,S01006618,Aberdeen City,,20,Aberdeen South and North Kincardine
Cove North - 01,S01006619,Aberdeen City,,16,Aberdeen South and North Kincardine
Cove North - 02,S01006620,Aberdeen City,,15,Aberdeen South and North Kincardine
Cove North - 03,S01006621,Aberdeen City,,16,Aberdeen South and North Kincardine
Cove North - 04,S01006622,Aberdeen City,,18,Aberdeen South and North Kincardine
Cove North - 05,S01006623,Aberdeen City,,7,Aberdeen South and North Kincardine
Torry West - 01,S01006624,Aberdeen City,,7,Aberdeen South and North Kincardine
Torry West - 02,S01006625,Aberdeen City,,10,Aberdeen South and North Kincardine
Torry West - 03,S01006626,Aberdeen City,,4,Aberdeen South and North Kincardine
Torry West - 04,S01006627,Aberdeen City,,4,Aberdeen South and North Kincardine
Torry West - 05,S01006628,Aberdeen City,,7,Aberdeen South and North Kincardine
Torry West - 07,S01006630,Aberdeen City,,5,Aberdeen South and North Kincardine
Torry East - 01,S01006631,Aberdeen City,,4,Aberdeen South and North Kincardine
Torry East - 02,S01006632,Aberdeen City,,4,Aberdeen South and North Kincardine
Torry East - 04,S01006634,Aberdeen City,,2,Aberdeen South and North Kincardine
Hanover South - 01,S01006637,Aberdeen City,,8,Aberdeen Central
Hanover South - 02,S01006638,Aberdeen City,,6,Aberdeen Central
Hanover South - 03,S01006639,Aberdeen City,,6,Aberdeen Central
Hanover South - 04,S01006640,Aberdeen City,,18,Aberdeen Central
Hanover North - 01,S01006641,Aberdeen City,,11,Aberdeen Central
Hanover North - 02,S01006642,Aberdeen City,,11,Aberdeen Central
Hanover North - 03,S01006643,Aberdeen City,,16,Aberdeen Central
Hanover North - 04,S01006644,Aberdeen City,,14,Aberdeen Central
George Street - 01,S01006645,Aberdeen City,,4,Aberdeen Central
George Street - 02,S01006646,Aberdeen City,,12,Aberdeen Central
George Street - 03,S01006647,Aberdeen City,,10,Aberdeen Central
George Street - 04,S01006648,Aberdeen City,,11,Aberdeen Central
George Street - 05,S01006649,Aberdeen City,,8,Aberdeen Central
George Street - 06,S01006650,Aberdeen City,,9,Aberdeen Central
George Street - 07,S01006651,Aberdeen City,,7,Aberdeen Central
George Street - 08,S01006652,Aberdeen City,,17,Aberdeen Central
Ashgrove - 01,S01006653,Aberdeen City,,17,Aberdeen Central
Ashgrove - 02,S01006654,Aberdeen City,,4,Aberdeen Central
Ashgrove - 03,S01006655,Aberdeen City,,11,Aberdeen Central
Ashgrove - 04,S01006656,Aberdeen City,,11,Aberdeen Central
Ashgrove - 05,S01006657,Aberdeen City,,8,Aberdeen Central
"Froghall, Powis and Sunnybank - 01",S01006658,Aberdeen City,,7,Aberdeen Central
"Froghall, Powis and Sunnybank - 02",S01006659,Aberdeen City,,19,Aberdeen Central
"Froghall, Powis and Sunnybank - 03",S01006660,Aberdeen City,,8,Aberdeen Central
"Froghall, Powis and Sunnybank - 04",S01006661,Aberdeen City,,15,Aberdeen Central
"Froghall, Powis and Sunnybank - 06",S01006663,Aberdeen City,,20,Aberdeen Central
"Froghall, Powis and Sunnybank - 07",S01006664,Aberdeen City,,16,Aberdeen Central
"Froghall, Powis and Sunnybank - 08",S01006665,Aberdeen City,,17,Aberdeen Central
Seaton - 01,S01006666,Aberdeen City,,4,Aberdeen Central
Seaton - 03,S01006668,Aberdeen City,,14,Aberdeen Central
Seaton - 04,S01006669,Aberdeen City,,9,Aberdeen Central
Seaton - 05,S01006670,Aberdeen City,,13,Aberdeen Central
Old Aberdeen - 01,S01006671,Aberdeen City,,18,Aberdeen Central
Old Aberdeen - 02,S01006672,Aberdeen City,,7,Aberdeen Central
Old Aberdeen - 03,S01006673,Aberdeen City,,8,Aberdeen Central
Old Aberdeen - 04,S01006674,Aberdeen City,,3,Aberdeen Central
Tillydrone - 02,S01006676,Aberdeen City,,4,Aberdeen Central
Tillydrone - 03,S01006677,Aberdeen City,,3,Aberdeen Central
Tillydrone - 04,S01006678,Aberdeen City,,5,Aberdeen Central
Tillydrone - 05,S01006679,Aberdeen City,,17,Aberdeen Central
Tillydrone - 06,S01006680,Aberdeen City,,4,Aberdeen Central
Woodside - 01,S01006681,Aberdeen City,,5,Aberdeen Donside
Woodside - 02,S01006682,Aberdeen City,,5,Aberdeen Donside
Woodside - 03,S01006683,Aberdeen City,,6,Aberdeen Donside
Woodside - 04,S01006684,Aberdeen City,,1,Aberdeen Donside
Woodside - 05,S01006685,Aberdeen City,,4,Aberdeen Donside
Hilton - 01,S01006686,Aberdeen City,,7,Aberdeen Donside
Hilton - 02,S01006687,Aberdeen City,,7,Aberdeen Donside
Hilton - 03,S01006688,Aberdeen City,,13,Aberdeen Donside
Hilton - 04,S01006689,Aberdeen City,,20,Aberdeen Donside
Hilton - 05,S01006690,Aberdeen City,,13,Aberdeen Donside
Hilton - 06,S01006691,Aberdeen City,,16,Aberdeen Central
Hilton - 07,S01006692,Aberdeen City,,16,Aberdeen Central
Hilton - 08,S01006693,Aberdeen City,,13,Aberdeen Donside
Stockethill - 01,S01006694,Aberdeen City,,4,Aberdeen Central
Stockethill - 02,S01006695,Aberdeen City,,8,Aberdeen Donside
Stockethill - 03,S01006696,Aberdeen City,,7,Aberdeen Donside
Stockethill - 04,S01006697,Aberdeen City,,7,Aberdeen Central
Stockethill - 05,S01006698,Aberdeen City,,3,Aberdeen Central
Stockethill - 06,S01006699,Aberdeen City,,15,Aberdeen Central
Stockethill - 07,S01006700,Aberdeen City,,8,Aberdeen Central
Mastrick - 02,S01006702,Aberdeen City,,11,Aberdeen Donside
Mastrick - 03,S01006703,Aberdeen City,,6,Aberdeen Donside
Mastrick - 04,S01006704,Aberdeen City,,3,Aberdeen Donside
Mastrick - 05,S01006705,Aberdeen City,,6,Aberdeen Donside
Mastrick - 06,S01006706,Aberdeen City,,8,Aberdeen Donside
Sheddocksley - 01,S01006708,Aberdeen City,,8,Aberdeen Donside
Sheddocksley - 02,S01006709,Aberdeen City,,7,Aberdeen Donside
Sheddocksley - 03,S01006710,Aberdeen City,,8,Aberdeen Donside
Sheddocksley - 04,S01006711,Aberdeen City,,5,Aberdeen Donside
Sheddocksley - 05,S01006712,Aberdeen City,,9,Aberdeen Donside
Sheddocksley - 06,S01006713,Aberdeen City,,6,Aberdeen Donside
Cummings Park - 01,S01006714,Aberdeen City,,8,Aberdeen Donside
Cummings Park - 02,S01006715,Aberdeen City,,5,Aberdeen Donside
Cummings Park - 04,S01006717,Aberdeen City,,5,Aberdeen Donside
Cummings Park - 05,S01006718,Aberdeen City,,6,Aberdeen Donside
Northfield - 01,S01006719,Aberdeen City,,6,Aberdeen Donside
Northfield - 02,S01006720,Aberdeen City,,6,Aberdeen Donside
Northfield - 03,S01006721,Aberdeen City,,6,Aberdeen Donside
Northfield - 04,S01006722,Aberdeen City,,9,Aberdeen Donside
Northfield - 05,S01006723,Aberdeen City,,7,Aberdeen Donside
Northfield - 07,S01006725,Aberdeen City,,5,Aberdeen Donside
Heathryfold and Middlefield - 01,S01006726,Aberdeen City,,4,Aberdeen Donside
Heathryfold and Middlefield - 03,S01006728,Aberdeen City,,8,Aberdeen Donside
Heathryfold and Middlefield - 04,S01006729,Aberdeen City,,4,Aberdeen Donside
Heathryfold and Middlefield - 05,S01006730,Aberdeen City,,8,Aberdeen Donside
Heathryfold and Middlefield - 06,S01006731,Aberdeen City,,4,Aberdeen Donside
Kingswells - 01,S01006732,Aberdeen City,,14,Aberdeen Donside
Kingswells - 02,S01006733,Aberdeen City,,20,Aberdeen Donside
Kingswells - 03,S01006734,Aberdeen City,,20,Aberdeen Donside
Kingswells - 04,S01006735,Aberdeen City,,20,Aberdeen Donside
Kingswells - 05,S01006736,Aberdeen City,,18,Aberdeen Donside
Kingswells - 06,S01006737,Aberdeen City,,18,Aberdeen Donside
Bucksburn South - 01,S01006738,Aberdeen City,,12,Aberdeen Donside
Bucksburn South - 02,S01006739,Aberdeen City,,17,Aberdeen Donside
Bucksburn South - 03,S01006740,Aberdeen City,,11,Aberdeen Donside
Bucksburn South - 04,S01006741,Aberdeen City,,8,Aberdeen Donside
Bucksburn South - 05,S01006742,Aberdeen City,,8,Aberdeen Donside
Bucksburn North - 01,S01006743,Aberdeen City,,14,Aberdeen Donside
Bucksburn North - 02,S01006744,Aberdeen City,,12,Aberdeen Donside
Bucksburn North - 03,S01006745,Aberdeen City,,8,Aberdeen Donside
Bucksburn North - 04,S01006746,Aberdeen City,,8,Aberdeen Donside
Bucksburn North - 05,S01006747,Aberdeen City,,16,Aberdeen Donside
Bucksburn North - 06,S01006748,Aberdeen City,,18,Aberdeen Donside
Dyce - 01,S01006749,Aberdeen City,,11,Aberdeen Donside
Dyce - 02,S01006750,Aberdeen City,,11,Aberdeen Donside
Dyce - 03,S01006751,Aberdeen City,,12,Aberdeen Donside
Dyce - 04,S01006752,Aberdeen City,,11,Aberdeen Donside
Dyce - 05,S01006753,Aberdeen City,,17,Aberdeen Donside
Dyce - 06,S01006754,Aberdeen City,,17,Aberdeen Donside
Dyce - 07,S01006755,Aberdeen City,,14,Aberdeen Donside
Danestone - 01,S01006756,Aberdeen City,,18,Aberdeen Donside
Danestone - 02,S01006757,Aberdeen City,,20,Aberdeen Donside
Danestone - 03,S01006758,Aberdeen City,,20,Aberdeen Donside
Danestone - 04,S01006759,Aberdeen City,,20,Aberdeen Donside
Danestone - 05,S01006760,Aberdeen City,,19,Aberdeen Donside
Danestone - 06,S01006761,Aberdeen City,,20,Aberdeen Donside
Oldmachar West - 01,S01006762,Aberdeen City,,16,Aberdeen Donside
Oldmachar West - 02,S01006763,Aberdeen City,,18,Aberdeen Donside
Oldmachar West - 03,S01006764,Aberdeen City,,19,Aberdeen Donside
Oldmachar West - 04,S01006765,Aberdeen City,,17,Aberdeen Donside
Oldmachar West - 05,S01006766,Aberdeen City,,19,Aberdeen Donside
Oldmachar West - 06,S01006767,Aberdeen City,,16,Aberdeen Donside
Oldmachar East - 01,S01006768,Aberdeen City,,20,Aberdeen Donside
Oldmachar East - 02,S01006769,Aberdeen City,,14,Aberdeen Donside
Oldmachar East - 03,S01006770,Aberdeen City,,18,Aberdeen Donside
Oldmachar East - 05,S01006772,Aberdeen City,,19,Aberdeen Donside
Oldmachar East - 06,S01006773,Aberdeen City,,18,Aberdeen Donside
Oldmachar East - 07,S01006774,Aberdeen City,,19,Aberdeen Donside
Balgownie and Donmouth West - 01,S01006775,Aberdeen City,,14,Aberdeen Donside
Balgownie and Donmouth West - 02,S01006776,Aberdeen City,,9,Aberdeen Donside
Balgownie and Donmouth West - 03,S01006777,Aberdeen City,,20,Aberdeen Donside
Balgownie and Donmouth West - 04,S01006778,Aberdeen City,,16,Aberdeen Donside
Balgownie and Donmouth West - 05,S01006779,Aberdeen City,,9,Aberdeen Donside
Balgownie and Donmouth West - 06,S01006780,Aberdeen City,,15,Aberdeen Donside
Balgownie and Donmouth East - 01,S01006781,Aberdeen City,,19,Aberdeen Donside
Balgownie and Donmouth East - 02,S01006782,Aberdeen City,,19,Aberdeen Donside
Balgownie and Donmouth East - 03,S01006783,Aberdeen City,,14,Aberdeen Donside
Balgownie and Donmouth East - 04,S01006784,Aberdeen City,,18,Aberdeen Donside
Denmore - 01,S01006785,Aberdeen City,,19,Aberdeen Donside
Denmore - 02,S01006786,Aberdeen City,,17,Aberdeen Donside
Denmore - 03,S01006787,Aberdeen City,,15,Aberdeen Donside
Denmore - 04,S01006788,Aberdeen City,,15,Aberdeen Donside
East Cairngorms - 01,S01006789,Aberdeenshire,,18,Aberdeenshire West
East Cairngorms - 02,S01006790,Aberdeenshire,,14,Aberdeenshire West
East Cairngorms - 03,S01006791,Aberdeenshire,,11,Aberdeenshire West
East Cairngorms - 04,S01006792,Aberdeenshire,,13,Aberdeenshire West
East Cairngorms - 05,S01006793,Aberdeenshire,,18,Aberdeenshire West
Aboyne and South Deeside - 01,S01006794,Aberdeenshire,,12,Aberdeenshire West
Aboyne and South Deeside - 02,S01006795,Aberdeenshire,,16,Aberdeenshire West
Aboyne and South Deeside - 03,S01006796,Aberdeenshire,,17,Aberdeenshire West
Aboyne and South Deeside - 04,S01006797,Aberdeenshire,,16,Aberdeenshire West
Aboyne and South Deeside - 05,S01006798,Aberdeenshire,,14,Aberdeenshire West
Aboyne and South Deeside - 06,S01006799,Aberdeenshire,,13,Aberdeenshire West
Aboyne and South Deeside - 07,S01006800,Aberdeenshire,,17,Aberdeenshire West
Mearns and Laurencekirk - 01,S01006801,Aberdeenshire,,16,Angus North and Mearns
Mearns and Laurencekirk - 02,S01006802,Aberdeenshire,,13,Angus North and Mearns
Mearns and Laurencekirk - 03,S01006803,Aberdeenshire,,12,Angus North and Mearns
Mearns and Laurencekirk - 04,S01006804,Aberdeenshire,,19,Angus North and Mearns
Mearns and Laurencekirk - 05,S01006805,Aberdeenshire,,14,Angus North and Mearns
Mearns South and Benholm - 01,S01006806,Aberdeenshire,,13,Angus North and Mearns
Mearns South and Benholm - 02,S01006807,Aberdeenshire,,11,Angus North and Mearns
Mearns South and Benholm - 03,S01006808,Aberdeenshire,,16,Angus North and Mearns
Mearns South and Benholm - 04,S01006809,Aberdeenshire,,10,Angus North and Mearns
Mearns South and Benholm - 05,S01006810,Aberdeenshire,,12,Angus North and Mearns
Mearns North and Inverbervie - 01,S01006811,Aberdeenshire,,14,Angus North and Mearns
Mearns North and Inverbervie - 02,S01006812,Aberdeenshire,,14,Angus North and Mearns
Mearns North and Inverbervie - 03,S01006813,Aberdeenshire,,14,Angus North and Mearns
Mearns North and Inverbervie - 04,S01006814,Aberdeenshire,,18,Angus North and Mearns
Mearns North and Inverbervie - 05,S01006815,Aberdeenshire,,11,Angus North and Mearns
Mearns North and Inverbervie - 06,S01006816,Aberdeenshire,,15,Angus North and Mearns
Mearns North and Inverbervie - 07,S01006817,Aberdeenshire,,15,Angus North and Mearns
"Fetteresso, Netherley and Catter - 01",S01006818,Aberdeenshire,,16,Angus North and Mearns
"Fetteresso, Netherley and Catter - 02",S01006819,Aberdeenshire,,16,Angus North and Mearns
"Fetteresso, Netherley and Catter - 03",S01006820,Aberdeenshire,,17,Aberdeen South and North Kincardine
"Fetteresso, Netherley and Catter - 04",S01006821,Aberdeenshire,,17,Aberdeen South and North Kincardine
"Fetteresso, Netherley and Catter - 05",S01006822,Aberdeenshire,,16,Angus North and Mearns
Stonehaven South - 01,S01006823,Aberdeenshire,,17,Angus North and Mearns
Stonehaven South - 02,S01006824,Aberdeenshire,,8,Angus North and Mearns
Stonehaven South - 03,S01006825,Aberdeenshire,,15,Angus North and Mearns
Stonehaven South - 04,S01006826,Aberdeenshire,,16,Angus North and Mearns
Stonehaven South - 05,S01006827,Aberdeenshire,,13,Angus North and Mearns
Stonehaven South - 06,S01006828,Aberdeenshire,,14,Angus North and Mearns
Stonehaven South - 07,S01006829,Aberdeenshire,,20,Angus North and Mearns
Stonehaven North - 01,S01006830,Aberdeenshire,,12,Angus North and Mearns
Stonehaven North - 02,S01006831,Aberdeenshire,,20,Angus North and Mearns
Stonehaven North - 03,S01006832,Aberdeenshire,,18,Angus North and Mearns
Stonehaven North - 04,S01006833,Aberdeenshire,,20,Angus North and Mearns
Stonehaven North - 05,S01006834,Aberdeenshire,,19,Angus North and Mearns
Stonehaven North - 06,S01006835,Aberdeenshire,,12,Angus North and Mearns
Stonehaven North - 07,S01006836,Aberdeenshire,,17,Angus North and Mearns
Stonehaven North - 08,S01006837,Aberdeenshire,,17,Angus North and Mearns
Stonehaven North - 09,S01006838,Aberdeenshire,,19,Angus North and Mearns
Newtonhill - 01,S01006839,Aberdeenshire,,15,Aberdeen South and North Kincardine
Newtonhill - 02,S01006840,Aberdeenshire,,18,Aberdeen South and North Kincardine
Newtonhill - 03,S01006841,Aberdeenshire,,16,Aberdeen South and North Kincardine
Portlethen - 01,S01006842,Aberdeenshire,,19,Aberdeen South and North Kincardine
Portlethen - 02,S01006843,Aberdeenshire,,20,Aberdeen South and North Kincardine
Portlethen - 03,S01006844,Aberdeenshire,,19,Aberdeen South and North Kincardine
Portlethen - 04,S01006845,Aberdeenshire,,20,Aberdeen South and North Kincardine
Portlethen - 05,S01006846,Aberdeenshire,,16,Aberdeen South and North Kincardine
Portlethen - 06,S01006847,Aberdeenshire,,18,Aberdeen South and North Kincardine
Banchory-Devenick and Findon - 01,S01006848,Aberdeenshire,,16,Aberdeen South and North Kincardine
Banchory-Devenick and Findon - 02,S01006849,Aberdeenshire,,18,Aberdeen South and North Kincardine
Banchory-Devenick and Findon - 03,S01006850,Aberdeenshire,,12,Aberdeen South and North Kincardine
Banchory-Devenick and Findon - 04,S01006851,Aberdeenshire,,13,Aberdeen South and North Kincardine
Banchory-Devenick and Findon - 05,S01006852,Aberdeenshire,,17,Aberdeen South and North Kincardine
"Dunecht, Durris and Drumoak - 01",S01006853,Aberdeenshire,,15,Aberdeen South and North Kincardine
"Dunecht, Durris and Drumoak - 02",S01006854,Aberdeenshire,,14,Aberdeenshire West
"Dunecht, Durris and Drumoak - 03",S01006855,Aberdeenshire,,16,Aberdeenshire West
"Dunecht, Durris and Drumoak - 04",S01006856,Aberdeenshire,,17,Aberdeenshire West
"Dunecht, Durris and Drumoak - 05",S01006857,Aberdeenshire,,16,Aberdeenshire West
"Dunecht, Durris and Drumoak - 06",S01006858,Aberdeenshire,,16,Aberdeenshire West
Banchory East - 01,S01006859,Aberdeenshire,,19,Aberdeenshire West
Banchory East - 02,S01006860,Aberdeenshire,,13,Aberdeenshire West
Banchory East - 03,S01006861,Aberdeenshire,,19,Aberdeenshire West
Banchory East - 04,S01006862,Aberdeenshire,,17,Aberdeenshire West
Banchory East - 05,S01006863,Aberdeenshire,,15,Aberdeenshire West
Banchory East - 06,S01006864,Aberdeenshire,,15,Aberdeenshire West
Banchory West - 01,S01006865,Aberdeenshire,,19,Aberdeenshire West
Banchory West - 02,S01006866,Aberdeenshire,,20,Aberdeenshire West
Banchory West - 03,S01006867,Aberdeenshire,,20,Aberdeenshire West
Banchory West - 04,S01006868,Aberdeenshire,,14,Aberdeenshire West
Crathes and Torphins - 01,S01006869,Aberdeenshire,,15,Aberdeenshire West
Crathes and Torphins - 02,S01006870,Aberdeenshire,,20,Aberdeenshire West
Crathes and Torphins - 03,S01006871,Aberdeenshire,,19,Aberdeenshire West
Crathes and Torphins - 04,S01006872,Aberdeenshire,,17,Aberdeenshire West
