LGD2014NAME,SOA2001,rank
Antrim and Newtownabbey,95WW22S2,193
Antrim and Newtownabbey,95WW23S1,628
Antrim and Newtownabbey,95WW23S2,886
Antrim and Newtownabbey,95WW24S1,319
Antrim and Newtownabbey,95WW24S2,184
Antrim and Newtownabbey,95WW25W1,135
Ards and North Down,95XX01S1,863
Ards and North Down,95XX01S2,830
Ards and North Down,95XX01S3,737
Ards and North Down,95XX02W1,840
Ards and North Down,95XX03S1,751
Ards and North Down,95XX03S2,847
Ards and North Down,95XX04S1,864
Ards and North Down,95XX04S2,714
Ards and North Down,95XX05W1,585
Ards and North Down,95XX06S1,354
Ards and North Down,95XX06S2,523
Ards and North Down,95XX07S1,726
Ards and North Down,95XX07S2,868
Ards and North Down,95XX08S1,776
Ards and North Down,95XX08S2,789
Ards and North Down,95XX09S1,798
Ards and North Down,95XX09S2,788
Ards and North Down,95XX10S1,307
Ards and North Down,95XX10S2,702
Ards and North Down,95XX10S3,356
Ards and North Down,95XX11S1,497
Ards and North Down,95XX11S2,602
Ards and North Down,95XX11S3,134
Ards and North Down,95XX12W1,756
Ards and North Down,95XX13W1,824
Ards and North Down,95XX14W1,762
Ards and North Down,95XX15W1,317
Ards and North Down,95XX16W1,768
Ards and North Down,95XX17S1,174
Ards and North Down,95XX17S2,632
Ards and North Down,95XX18W1,647
Ards and North Down,95XX19W1,816
Ards and North Down,95XX20S1,250
Ards and North Down,95XX20S2,480
Ards and North Down,95XX21W1,818
Ards and North Down,95XX22W1,532
Ards and North Down,95XX23W1,530
Ards and North Down,95XX24S1,855
Ards and North Down,95XX24S2,731
Ards and North Down,95XX25W1,242
Fermanagh and Omagh,95YY01W1,422
Fermanagh and Omagh,95YY02W1,312
Fermanagh and Omagh,95YY03W1,461
Fermanagh and Omagh,95YY04W1,438
Fermanagh and Omagh,95YY05W1,316
Fermanagh and Omagh,95YY06W1,383
Fermanagh and Omagh,95YY07W1,395
Fermanagh and Omagh,95YY08W1,311
Fermanagh and Omagh,95YY09W1,323
Fermanagh and Omagh,95YY10W1,512
Fermanagh and Omagh,95YY11W1,138
Fermanagh and Omagh,95YY12W1,573
Fermanagh and Omagh,95YY13S1,529
Fermanagh and Omagh,95YY13S2,188
Fermanagh and Omagh,95YY14S1,264
Fermanagh and Omagh,95YY14S2,445
Fermanagh and Omagh,95YY15S1,47
Fermanagh and Omagh,95YY15S2,46
Fermanagh and Omagh,95YY16W1,452
Fermanagh and Omagh,95YY17W1,257
Fermanagh and Omagh,95YY18W1,289
Fermanagh and Omagh,95YY19W1,168
Fermanagh and Omagh,95YY20W1,280
Fermanagh and Omagh,95YY21W1,379
Derry City and Strabane,95ZZ01W1,376
Derry City and Strabane,95ZZ02W1,37
Derry City and Strabane,95ZZ03W1,152
Derry City and Strabane,95ZZ04W1,333
Derry City and Strabane,95ZZ05W1,148
Derry City and Strabane,95ZZ06W1,1
Derry City and Strabane,95ZZ07W1,166
Derry City and Strabane,95ZZ08W1,90
Derry City and Strabane,95ZZ09W1,201
Derry City and Strabane,95ZZ10W1,141
Derry City and Strabane,95ZZ11W1,304
Derry City and Strabane,95ZZ12W1,175
Derry City and Strabane,95ZZ13W1,299
Derry City and Strabane,95ZZ14S1,236
Derry City and Strabane,95ZZ14S2,477
Derry City and Strabane,95ZZ15W1,266
Derry City and Strabane,95ZZ16S1,205
Derry City and Strabane,95ZZ16S2,170
