dzlabel,lalabel,rank
S01008256,East Lothian,2339
S01008379,East Renfrewshire,6851
S01008257,East Lothian,3151
S01008380,East Renfrewshire,6797
S01008258,East Lothian,5545
S01008381,East Renfrewshire,6909
S01008259,East Lothian,3567
S01008382,East Renfrewshire,6715
S01008260,East Lothian,2366
S01008383,East Renfrewshire,6877
S01008261,East Lothian,2170
S01008384,East Renfrewshire,5784
S01008262,East Lothian,3973
S01008385,East Renfrewshire,6846
S01008263,East Lothian,4460
S01008386,East Renfrewshire,6242
S01008264,East Lothian,5601
S01008387,East Renfrewshire,6524
S01008265,East Lothian,6828
S01008388,East Renfrewshire,5631
S01008266,East Lothian,6840
S01008389,East Renfrewshire,6104
S01008267,East Lothian,4882
S01008390,East Renfrewshire,6809
S01008268,East Lothian,6710
S01008391,East Renfrewshire,6448
S01008269,East Lothian,6183
S01008392,East Renfrewshire,6805
S01008270,East Lothian,6917
S01008393,East Renfrewshire,6783
S01008271,East Lothian,3839
S01008394,East Renfrewshire,6965
S01008272,East Lothian,5172
S01008395,East Renfrewshire,6254
S01008273,East Lothian,6903
S01008396,East Renfrewshire,5820
S01008274,East Lothian,3972
S01008397,East Renfrewshire,6911
S01008275,East Lothian,5061
S01008398,East Renfrewshire,6281
S01008276,East Lothian,6446
S01008399,East Renfrewshire,6209
S01008277,East Lothian,4653
S01008400,East Renfrewshire,6428
S01008278,East Lothian,6292
S01008401,East Renfrewshire,6180
S01008279,East Lothian,4375
S01008402,East Renfrewshire,6873
S01008280,East Lothian,4725
S01008403,East Renfrewshire,6837
S01008281,East Lothian,4357
S01008404,East Renfrewshire,6855
S01008282,East Lothian,4168
S01008405,East Renfrewshire,6976
S01008283,East Lothian,5325
S01008406,East Renfrewshire,5128
S01008284,East Lothian,4921
S01008407,East Renfrewshire,3469
S01008285,East Lothian,2695
S01008408,East Renfrewshire,6691
S01008286,East Lothian,4018
S01008409,East Renfrewshire,2944
S01008287,East Lothian,4073
S01008410,East Renfrewshire,4709
S01008288,East Lothian,4146
S01008411,East Renfrewshire,5489
S01008289,East Lothian,2510
S01008412,East Renfrewshire,5114
S01008290,East Lothian,4594
S01008413,East Renfrewshire,4205
S01008291,East Lothian,5608
S01008414,East Renfrewshire,6810
S01008292,East Lothian,4513
S01008415,East Renfrewshire,4232
S01008293,East Lothian,6314
S01008416,East Renfrewshire,2041
S01008294,East Lothian,4394
S01008417,City of Edinburgh,5612
S01008295,East Renfrewshire,5803
S01008418,City of Edinburgh,6285
S01008296,East Renfrewshire,2906
S01008419,City of Edinburgh,5717
S01008297,East Renfrewshire,5590
S01008420,City of Edinburgh,6737
S01008298,East Renfrewshire,4156
S01008421,City of Edinburgh,3530
S01008299,East Renfrewshire,1393
S01008422,City of Edinburgh,6792
S01008300,East Renfrewshire,2492
S01008423,City of Edinburgh,6391
S01008301,East Renfrewshire,4740
S01008424,City of Edinburgh,6671
S01008302,East Renfrewshire,5939
S01008425,City of Edinburgh,6763
S01008303,East Renfrewshire,3874
S01008426,City of Edinburgh,3253
S01008304,East Renfrewshire,4297
S01008427,City of Edinburgh,6312
S01008305,East Renfrewshire,5563
S01008428,City of Edinburgh,4055
S01008306,East Renfrewshire,5910
S01008429,City of Edinburgh,6758
S01008307,East Renfrewshire,5226
S01008430,City of Edinburgh,5177
S01008308,East Renfrewshire,5976
S01008431,City of Edinburgh,5793
S01008309,East Renfrewshire,1015
S01008432,City of Edinburgh,6298
S01008310,East Renfrewshire,2925
S01008433,City of Edinburgh,6614
S01008311,East Renfrewshire,1958
S01008434,City of Edinburgh,6493
S01008312,East Renfrewshire,6037
S01008435,City of Edinburgh,6589
S01008313,East Renfrewshire,880
S01008436,City of Edinburgh,6279
S01008314,East Renfrewshire,882
S01008315,East Renfrewshire,601
S01008437,City of Edinburgh,5241
S01008316,East Renfrewshire,212
S01008438,City of Edinburgh,6336
S01008317,East Renfrewshire,1725
S01008439,City of Edinburgh,6778
S01008318,East Renfrewshire,4917
S01008440,City of Edinburgh,6410
S01008319,East Renfrewshire,2180
S01008441,City of Edinburgh,6700
S01008320,East Renfrewshire,3730
S01008442,City of Edinburgh,6652
S01008321,East Renfrewshire,6395
S01008443,City of Edinburgh,6679
S01008322,East Renfrewshire,2256
S01008444,City of Edinburgh,6730
S01008323,East Renfrewshire,1309
S01008445,City of Edinburgh,5486
S01008324,East Renfrewshire,2204
S01008446,City of Edinburgh,6838
S01008325,East Renfrewshire,2622
S01008447,City of Edinburgh,6296
S01008326,East Renfrewshire,1190
S01008448,City of Edinburgh,5559
S01008327,East Renfrewshire,2602
S01008449,City of Edinburgh,913
S01008328,East Renfrewshire,5719
S01008450,City of Edinburgh,1398
S01008329,East Renfrewshire,6443
S01008451,City of Edinburgh,132
S01008330,East Renfrewshire,6028
S01008452,City of Edinburgh,239
S01008331,East Renfrewshire,6036
S01008453,City of Edinburgh,3562
S01008332,East Renfrewshire,6085
S01008454,City of Edinburgh,738
S01008333,East Renfrewshire,5048
S01008455,City of Edinburgh,623
S01008334,East Renfrewshire,6429
S01008456,City of Edinburgh,267
S01008335,East Renfrewshire,3251
S01008457,City of Edinburgh,1054
S01008336,East Renfrewshire,2296
S01008458,City of Edinburgh,2561
S01008337,East Renfrewshire,4686
S01008459,City of Edinburgh,375
S01008338,East Renfrewshire,6250
S01008460,City of Edinburgh,264
S01008339,East Renfrewshire,6290
S01008461,City of Edinburgh,347
S01008340,East Renfrewshire,5790
S01008462,City of Edinburgh,191
S01008341,East Renfrewshire,6748
S01008463,City of Edinburgh,438
S01008342,East Renfrewshire,3563
S01008464,City of Edinburgh,3622
S01008343,East Renfrewshire,6916
S01008465,City of Edinburgh,3597
S01008344,East Renfrewshire,6927
S01008466,City of Edinburgh,2452
S01008345,East Renfrewshire,6872
S01008467,City of Edinburgh,3544
S01008346,East Renfrewshire,6902
S01008468,City of Edinburgh,2183
S01008347,East Renfrewshire,6331
S01008469,City of Edinburgh,3379
S01008348,East Renfrewshire,5869
S01008470,City of Edinburgh,973
S01008349,East Renfrewshire,6077
S01008471,City of Edinburgh,594
S01008350,East Renfrewshire,6618
S01008472,City of Edinburgh,1601
S01008351,East Renfrewshire,6161
S01008473,City of Edinburgh,1045
S01008352,East Renfrewshire,6910
S01008474,City of Edinburgh,728
S01008353,East Renfrewshire,6527
S01008475,City of Edinburgh,1424
S01008354,East Renfrewshire,4444
S01008476,City of Edinburgh,1481
S01008355,East Renfrewshire,3975
S01008356,East Renfrewshire,5401
S01008477,City of Edinburgh,1146
S01008357,East Renfrewshire,5609
S01008478,City of Edinburgh,1368
S01008358,East Renfrewshire,3404
S01008479,City of Edinburgh,2034
S01008480,City of Edinburgh,2155
S01008359,East Renfrewshire,6151
S01008481,City of Edinburgh,2621
S01008360,East Renfrewshire,6418
S01008482,City of Edinburgh,1976
S01008361,East Renfrewshire,5193
S01008483,City of Edinburgh,1363
S01008362,East Renfrewshire,6306
S01008484,City of Edinburgh,3408
S01008363,East Renfrewshire,5896
S01008485,City of Edinburgh,5010
S01008364,East Renfrewshire,6519
S01008486,City of Edinburgh,2594
S01008365,East Renfrewshire,6560
S01008487,City of Edinburgh,5410
S01008366,East Renfrewshire,3706
S01008488,City of Edinburgh,3476
S01008367,East Renfrewshire,2286
S01008489,City of Edinburgh,2472
S01008368,East Renfrewshire,5047
S01008490,City of Edinburgh,3654
S01008369,East Renfrewshire,4335
S01008491,City of Edinburgh,4014
S01008370,East Renfrewshire,6094
S01008492,City of Edinburgh,2890
S01008371,East Renfrewshire,6879
S01008493,City of Edinburgh,2680
S01008372,East Renfrewshire,6360
S01008494,City of Edinburgh,1799
S01008373,East Renfrewshire,6853
S01008495,City of Edinburgh,3071
S01008374,East Renfrewshire,6905
S01008496,City of Edinburgh,4539
S01008497,City of Edinburgh,4650
S01008532,City of Edinburgh,2699
S01008498,City of Edinburgh,2196
S01008533,City of Edinburgh,5300
S01008499,City of Edinburgh,4190
S01008534,City of Edinburgh,6595
S01008500,City of Edinburgh,1059
S01008535,City of Edinburgh,6434
S01008501,City of Edinburgh,6139
S01008536,City of Edinburgh,6639
S01008502,City of Edinburgh,6658
S01008537,City of Edinburgh,6774
S01008503,City of Edinburgh,6608
S01008538,City of Edinburgh,6950
S01008504,City of Edinburgh,6750
S01008539,City of Edinburgh,6895
S01008505,City of Edinburgh,6768
S01008540,City of Edinburgh,6893
S01008506,City of Edinburgh,6469
S01008541,City of Edinburgh,6863
S01008507,City of Edinburgh,5962
S01008542,City of Edinburgh,6732
S01008508,City of Edinburgh,6904
S01008543,City of Edinburgh,6707
S01008509,City of Edinburgh,6868
S01008544,City of Edinburgh,6340
S01008510,City of Edinburgh,6457
S01008545,City of Edinburgh,6723
S01008511,City of Edinburgh,6899
S01008546,City of Edinburgh,6610
S01008512,City of Edinburgh,6865
S01008547,City of Edinburgh,5025
S01008513,City of Edinburgh,6830
S01008548,City of Edinburgh,4439
S01008514,City of Edinburgh,5630
S01008549,City of Edinburgh,3886
S01008515,City of Edinburgh,6961
S01008550,City of Edinburgh,5661
S01008516,City of Edinburgh,4286
S01008517,City of Edinburgh,6686
S01008551,City of Edinburgh,4784
S01008518,City of Edinburgh,6825
S01008552,City of Edinburgh,5554
S01008519,City of Edinburgh,6722
S01008553,City of Edinburgh,2340
S01008520,City of Edinburgh,6862
S01008554,City of Edinburgh,775
S01008521,City of Edinburgh,6833
S01008555,City of Edinburgh,808
S01008522,City of Edinburgh,6651
S01008556,City of Edinburgh,647
S01008523,City of Edinburgh,6396
S01008557,City of Edinburgh,1137
S01008524,City of Edinburgh,944
S01008558,City of Edinburgh,1339
S01008525,City of Edinburgh,2427
S01008559,City of Edinburgh,1993
S01008526,City of Edinburgh,3054
S01008560,City of Edinburgh,1574
S01008527,City of Edinburgh,5130
S01008561,City of Edinburgh,2556
S01008528,City of Edinburgh,4683
S01008562,City of Edinburgh,872
S01008529,City of Edinburgh,4363
S01008563,City of Edinburgh,1403
S01008530,City of Edinburgh,741
S01008564,City of Edinburgh,2724
S01008531,City of Edinburgh,1750
S01008565,City of Edinburgh,1005
S01008688,City of Edinburgh,3498
S01008566,City of Edinburgh,1526
S01008689,City of Edinburgh,4180
S01008567,City of Edinburgh,1975
S01008690,City of Edinburgh,4972
S01008568,City of Edinburgh,3564
S01008691,City of Edinburgh,3111
S01008569,City of Edinburgh,50
S01008692,City of Edinburgh,4324
S01008570,City of Edinburgh,535
S01008693,City of Edinburgh,4872
S01008571,City of Edinburgh,1996
S01008694,City of Edinburgh,5115
S01008572,City of Edinburgh,3140
S01008695,City of Edinburgh,4834
S01008573,City of Edinburgh,4986
S01008696,City of Edinburgh,6616
S01008574,City of Edinburgh,5634
S01008697,City of Edinburgh,6196
S01008575,City of Edinburgh,6480
S01008698,City of Edinburgh,5126
S01008576,City of Edinburgh,5446
S01008699,City of Edinburgh,2454
S01008577,City of Edinburgh,4766
S01008700,City of Edinburgh,6349
S01008701,City of Edinburgh,1079
S01008578,City of Edinburgh,6794
S01008702,City of Edinburgh,2342
S01008579,City of Edinburgh,4828
S01008703,City of Edinburgh,293
S01008580,City of Edinburgh,4675
S01008704,City of Edinburgh,1060
S01008581,City of Edinburgh,1418
S01008705,City of Edinburgh,552
S01008582,City of Edinburgh,1804
S01008706,City of Edinburgh,2274
S01008583,City of Edinburgh,2628
S01008707,City of Edinburgh,116
S01008584,City of Edinburgh,2633
S01008708,City of Edinburgh,199
S01008585,City of Edinburgh,1715
S01008709,City of Edinburgh,722
S01008586,City of Edinburgh,2168
S01008710,City of Edinburgh,14
S01008587,City of Edinburgh,5755
S01008711,City of Edinburgh,462
S01008588,City of Edinburgh,6786
S01008712,City of Edinburgh,94
S01008589,City of Edinburgh,5602
S01008713,City of Edinburgh,165
S01008590,City of Edinburgh,6552
S01008714,City of Edinburgh,1038
S01008591,City of Edinburgh,5880
S01008715,City of Edinburgh,1321
S01008592,City of Edinburgh,3650
S01008716,City of Edinburgh,1249
S01008593,City of Edinburgh,6701
S01008717,City of Edinburgh,3970
S01008594,City of Edinburgh,6537
S01008718,City of Edinburgh,4276
S01008595,City of Edinburgh,1470
S01008719,City of Edinburgh,3475
S01008596,City of Edinburgh,2297
S01008720,City of Edinburgh,2364
S01008721,City of Edinburgh,5578
S01008597,City of Edinburgh,6176
S01008722,City of Edinburgh,4664
S01008598,City of Edinburgh,5524
S01008723,City of Edinburgh,5903
S01008599,City of Edinburgh,6398
S01008600,City of Edinburgh,5709
S01008601,City of Edinburgh,6531
S01008724,City of Edinburgh,5648
S01008602,City of Edinburgh,6613
S01008725,City of Edinburgh,4758
S01008603,City of Edinburgh,4521
S01008726,City of Edinburgh,6971
S01008604,City of Edinburgh,6455
S01008727,City of Edinburgh,5768
S01008605,City of Edinburgh,6759
S01008728,City of Edinburgh,2139
S01008606,City of Edinburgh,6650
S01008729,City of Edinburgh,6605
S01008607,City of Edinburgh,6793
S01008730,City of Edinburgh,3576
S01008608,City of Edinburgh,6836
S01008731,City of Edinburgh,2612
S01008609,City of Edinburgh,6130
S01008732,City of Edinburgh,2054
S01008610,City of Edinburgh,6820
S01008733,City of Edinburgh,3485
S01008611,City of Edinburgh,6870
S01008734,City of Edinburgh,4736
S01008612,City of Edinburgh,4996
S01008735,City of Edinburgh,6633
S01008613,City of Edinburgh,6545
S01008736,City of Edinburgh,5147
S01008614,City of Edinburgh,5758
S01008737,City of Edinburgh,6661
S01008615,City of Edinburgh,6752
S01008738,City of Edinburgh,6648
S01008616,City of Edinburgh,6921
S01008739,City of Edinburgh,4595
S01008617,City of Edinburgh,6947
S01008740,City of Edinburgh,5974
S01008618,City of Edinburgh,6948
S01008741,City of Edinburgh,6425
S01008619,City of Edinburgh,6733
S01008742,City of Edinburgh,3816
S01008620,City of Edinburgh,6963
S01008743,City of Edinburgh,1981
S01008621,City of Edinburgh,6970
S01008744,City of Edinburgh,3331
S01008622,City of Edinburgh,6974
S01008745,City of Edinburgh,5558
S01008746,City of Edinburgh,1328
S01008623,City of Edinburgh,6940
S01008747,City of Edinburgh,6310
S01008624,City of Edinburgh,6445
S01008748,City of Edinburgh,6659
S01008625,City of Edinburgh,6117
S01008749,City of Edinburgh,5449
S01008626,City of Edinburgh,6922
S01008750,City of Edinburgh,6273
S01008627,City of Edinburgh,6953
S01008751,City of Edinburgh,2058
S01008628,City of Edinburgh,6235
S01008752,City of Edinburgh,342
S01008629,City of Edinburgh,6154
S01008753,City of Edinburgh,1197
S01008630,City of Edinburgh,6849
S01008754,City of Edinburgh,2781
S01008631,City of Edinburgh,5776
S01008755,City of Edinburgh,1662
S01008632,City of Edinburgh,3488
S01008756,City of Edinburgh,966
S01008633,City of Edinburgh,5924
S01008757,City of Edinburgh,61
S01008634,City of Edinburgh,6907
S01008758,City of Edinburgh,681
S01008635,City of Edinburgh,6746
S01008759,City of Edinburgh,463
S01008636,City of Edinburgh,6720
S01008760,City of Edinburgh,246
S01008637,City of Edinburgh,6869
S01008761,City of Edinburgh,3676
S01008638,City of Edinburgh,5547
S01008762,City of Edinburgh,4857
S01008639,City of Edinburgh,5729
S01008763,City of Edinburgh,6358
S01008640,City of Edinburgh,6939
S01008764,City of Edinburgh,4610
S01008641,City of Edinburgh,6967
S01008765,City of Edinburgh,4674
S01008642,City of Edinburgh,6928
S01008766,City of Edinburgh,4617
S01008643,City of Edinburgh,6754
S01008767,City of Edinburgh,3507
S01008644,City of Edinburgh,5394
S01008768,City of Edinburgh,2822
S01008645,City of Edinburgh,6643
S01008769,City of Edinburgh,3868
S01008646,City of Edinburgh,6449
S01008770,City of Edinburgh,4141
S01008647,City of Edinburgh,6229
S01008771,City of Edinburgh,3963
S01008648,City of Edinburgh,4948
S01008772,City of Edinburgh,5291
S01008649,City of Edinburgh,4697
S01008773,City of Edinburgh,2572
S01008650,City of Edinburgh,4142
S01008774,City of Edinburgh,1275
S01008651,City of Edinburgh,3679
S01008775,City of Edinburgh,3304
S01008652,City of Edinburgh,1988
S01008776,City of Edinburgh,899
S01008653,City of Edinburgh,2591
S01008777,City of Edinburgh,574
S01008654,City of Edinburgh,2750
S01008778,City of Edinburgh,3406
S01008655,City of Edinburgh,3533
S01008779,City of Edinburgh,5899
S01008656,City of Edinburgh,1798
S01008780,City of Edinburgh,3126
S01008657,City of Edinburgh,3340
S01008781,City of Edinburgh,2570
S01008658,City of Edinburgh,3678
S01008782,City of Edinburgh,2504
S01008659,City of Edinburgh,3033
S01008783,City of Edinburgh,4367
S01008660,City of Edinburgh,5202
S01008784,City of Edinburgh,4656
S01008661,City of Edinburgh,4104
S01008785,City of Edinburgh,714
S01008662,City of Edinburgh,3988
S01008786,City of Edinburgh,2657
S01008663,City of Edinburgh,2852
S01008787,City of Edinburgh,51
S01008664,City of Edinburgh,4423
S01008788,City of Edinburgh,3719
S01008665,City of Edinburgh,4303
S01008789,City of Edinburgh,1101
S01008666,City of Edinburgh,6822
S01008790,City of Edinburgh,1372
S01008791,City of Edinburgh,3245
S01008667,City of Edinburgh,5908
S01008792,City of Edinburgh,2222
S01008668,City of Edinburgh,6000
S01008793,City of Edinburgh,1330
S01008669,City of Edinburgh,6564
S01008794,City of Edinburgh,2115
S01008670,City of Edinburgh,6062
S01008795,City of Edinburgh,4508
S01008671,City of Edinburgh,5731
S01008796,City of Edinburgh,2710
S01008672,City of Edinburgh,5770
S01008797,City of Edinburgh,3580
S01008673,City of Edinburgh,3959
S01008798,City of Edinburgh,3165
S01008674,City of Edinburgh,3481
S01008799,City of Edinburgh,3420
S01008675,City of Edinburgh,2619
S01008800,City of Edinburgh,4382
S01008676,City of Edinburgh,3733
S01008801,City of Edinburgh,3474
S01008677,City of Edinburgh,2729
S01008802,City of Edinburgh,2872
S01008678,City of Edinburgh,3451
S01008803,City of Edinburgh,2149
S01008679,City of Edinburgh,1589
S01008804,City of Edinburgh,2179
S01008680,City of Edinburgh,3490
S01008805,City of Edinburgh,4999
S01008681,City of Edinburgh,2505
S01008806,City of Edinburgh,4728
S01008682,City of Edinburgh,3350
S01008807,City of Edinburgh,3657
S01008683,City of Edinburgh,2057
S01008808,City of Edinburgh,3711
S01008684,City of Edinburgh,1256
S01008809,City of Edinburgh,5366
S01008685,City of Edinburgh,1588
S01008810,City of Edinburgh,6672
S01008811,City of Edinburgh,6459
S01008686,City of Edinburgh,1706
S01008812,City of Edinburgh,6185
S01008687,City of Edinburgh,2851
S01008813,City of Edinburgh,2111
S01008844,City of Edinburgh,5997
S01008814,City of Edinburgh,4085
S01008845,City of Edinburgh,6543
S01008815,City of Edinburgh,2726
S01008846,City of Edinburgh,5370
S01008816,City of Edinburgh,3416
S01008847,City of Edinburgh,6811
S01008817,City of Edinburgh,2295
S01008848,City of Edinburgh,5360
S01008818,City of Edinburgh,5597
S01008849,City of Edinburgh,6499
S01008819,City of Edinburgh,5462
S01008850,City of Edinburgh,6966
S01008820,City of Edinburgh,1645
S01008851,City of Edinburgh,4064
S01008821,City of Edinburgh,6098
S01008852,City of Edinburgh,6831
S01008822,City of Edinburgh,6521
S01008853,City of Edinburgh,6787
S01008823,City of Edinburgh,6215
S01008854,City of Edinburgh,6937
S01008824,City of Edinburgh,6657
S01008855,City of Edinburgh,6931
S01008825,City of Edinburgh,6716
S01008856,City of Edinburgh,6599
S01008826,City of Edinburgh,3697
S01008857,City of Edinburgh,6753
S01008827,City of Edinburgh,6739
S01008858,City of Edinburgh,6653
S01008828,City of Edinburgh,5875
S01008859,City of Edinburgh,5957
S01008829,City of Edinburgh,5902
S01008860,City of Edinburgh,5232
S01008830,City of Edinburgh,6127
S01008861,City of Edinburgh,6959
S01008831,City of Edinburgh,6566
S01008862,City of Edinburgh,6311
S01008832,City of Edinburgh,6284
S01008863,City of Edinburgh,6764
S01008833,City of Edinburgh,6719
S01008864,City of Edinburgh,6751
S01008834,City of Edinburgh,6842
S01008865,City of Edinburgh,6886
S01008835,City of Edinburgh,5548
S01008866,City of Edinburgh,6972
S01008836,City of Edinburgh,2233
S01008867,City of Edinburgh,6951
S01008837,City of Edinburgh,4648
S01008868,City of Edinburgh,4904
S01008838,City of Edinburgh,5381
S01008869,City of Edinburgh,6542
S01008839,City of Edinburgh,5638
S01008870,City of Edinburgh,6636
S01008840,City of Edinburgh,6640
S01008871,City of Edinburgh,6924
S01008841,City of Edinburgh,6695
S01008842,City of Edinburgh,6042
S01008872,City of Edinburgh,5522
S01008843,City of Edinburgh,5153
S01008873,City of Edinburgh,6894
S01008874,City of Edinburgh,5797
S01008875,City of Edinburgh,4923
S01008876,City of Edinburgh,5972
S01008877,City of Edinburgh,6709
S01008878,City of Edinburgh,4238
S01008879,City of Edinburgh,4790
S01008880,City of Edinburgh,5616
S01008881,City of Edinburgh,6703
S01008882,City of Edinburgh,6934
S01008883,City of Edinburgh,6634
S01008884,City of Edinburgh,6706
S01008885,City of Edinburgh,6890
S01008886,City of Edinburgh,6756
S01008887,City of Edinburgh,6580
S01008888,City of Edinburgh,6553
S01008889,City of Edinburgh,6705
S01008890,City of Edinburgh,5928
S01008891,City of Edinburgh,6624
S01008892,City of Edinburgh,5804
S01008893,City of Edinburgh,6843
S01008894,City of Edinburgh,6935
S01008895,City of Edinburgh,6776
S01008896,City of Edinburgh,6929
S01008897,City of Edinburgh,6882
S01008898,City of Edinburgh,6687
S01008899,City of Edinburgh,983
S01008900,City of Edinburgh,2177
S01008901,City of Edinburgh,1966
S01008902,City of Edinburgh,1796
S01008903,City of Edinburgh,2059
S01008904,City of Edinburgh,1465
S01008905,City of Edinburgh,689
S01008906,City of Edinburgh,727
S01008907,City of Edinburgh,405
S01008908,City of Edinburgh,1254
S01008909,City of Edinburgh,2723
S01008910,City of Edinburgh,2118
S01008911,City of Edinburgh,5647
S01008912,City of Edinburgh,6004
S01008913,City of Edinburgh,4321
S01008914,City of Edinburgh,3410
S01008915,City of Edinburgh,5461
S01008916,City of Edinburgh,853
S01008917,City of Edinburgh,511
S01008918,City of Edinburgh,394
S01008919,City of Edinburgh,370
S01008920,City of Edinburgh,4473
S01008921,City of Edinburgh,414
S01008922,City of Edinburgh,1384
S01008923,City of Edinburgh,1194
S01008924,City of Edinburgh,773
S01008925,City of Edinburgh,2676
S01008926,City of Edinburgh,2134
S01008927,City of Edinburgh,3881
S01008928,City of Edinburgh,1524
S01008929,City of Edinburgh,6
S01008930,City of Edinburgh,255
S01008931,City of Edinburgh,930
S01008932,City of Edinburgh,2567
S01008933,City of Edinburgh,617
S01008934,City of Edinburgh,1538
S01008935,City of Edinburgh,6261
S01008936,City of Edinburgh,6898
S01008937,City of Edinburgh,5508
S01008938,City of Edinburgh,6103
S01008939,City of Edinburgh,5856
S01008940,City of Edinburgh,6583
S01008941,City of Edinburgh,6594
S01008942,City of Edinburgh,6402
S01008943,City of Edinburgh,6789
S01008944,City of Edinburgh,6568
S01008945,City of Edinburgh,6205
S01008946,City of Edinburgh,6623
S01008947,City of Edinburgh,6211
S01008948,City of Edinburgh,6179
S01008949,City of Edinburgh,3079
S01008950,City of Edinburgh,3926
S01008951,City of Edinburgh,1290
S01008952,City of Edinburgh,951
S01008953,City of Edinburgh,2164
S01008954,City of Edinburgh,2113
S01008955,City of Edinburgh,5375
S01008956,City of Edinburgh,4851
S01008957,City of Edinburgh,3095
S01008958,City of Edinburgh,2527
S01008959,City of Edinburgh,4183
S01008960,City of Edinburgh,6832
S01008961,City of Edinburgh,5716
S01008962,City of Edinburgh,6629
S01008963,City of Edinburgh,6536
S01008964,City of Edinburgh,6881
S01008965,City of Edinburgh,6551
S01008966,City of Edinburgh,6059
S01008967,City of Edinburgh,6644
S01008968,City of Edinburgh,6143
S01008969,City of Edinburgh,5159
S01008970,City of Edinburgh,6856
S01008971,City of Edinburgh,6637
S01008972,City of Edinburgh,6859
S01008973,City of Edinburgh,5527
S01008974,City of Edinburgh,6213
S01008975,City of Edinburgh,3008
S01008976,City of Edinburgh,6941
S01008977,City of Edinburgh,6541
S01008978,City of Edinburgh,5385
S01008979,City of Edinburgh,4172
S01008980,City of Edinburgh,3832
S01008981,City of Edinburgh,6717
S01008982,City of Edinburgh,3720
S01008983,City of Edinburgh,2901
S01008984,City of Edinburgh,4079
S01008985,City of Edinburgh,4859
S01008986,City of Edinburgh,5943
S01008987,City of Edinburgh,6588
S01008988,City of Edinburgh,4254
S01008989,City of Edinburgh,5376
S01009000,City of Edinburgh,5837
S01008990,City of Edinburgh,5356
S01009001,City of Edinburgh,5624
S01009002,City of Edinburgh,5125
S01008991,City of Edinburgh,5542
S01008992,City of Edinburgh,2945
S01009003,City of Edinburgh,6462
S01009004,City of Edinburgh,5063
S01008993,City of Edinburgh,4450
S01009005,City of Edinburgh,5739
S01008994,City of Edinburgh,3046
S01009006,City of Edinburgh,4449
S01008995,City of Edinburgh,6453
S01009007,City of Edinburgh,3894
S01008996,City of Edinburgh,3199
S01009008,City of Edinburgh,5580
S01008997,City of Edinburgh,3429
S01009009,City of Edinburgh,1516
S01008998,City of Edinburgh,1083
S01009010,City of Edinburgh,6158
S01008999,City of Edinburgh,3268
S01009011,City of Edinburgh,6511
S01009012,City of Edinburgh,6555
S01009013,City of Edinburgh,6678
S01009014,Na h-Eileanan Siar,3042
S01009015,Na h-Eileanan Siar,3513
S01009016,Na h-Eileanan Siar,3055
S01009017,Na h-Eileanan Siar,2694
S01009018,Na h-Eileanan Siar,2811
S01009019,Na h-Eileanan Siar,3703
S01009020,Na h-Eileanan Siar,3222
S01009021,Na h-Eileanan Siar,3006
S01009022,Na h-Eileanan Siar,3324
S01009023,Na h-Eileanan Siar,3010
S01009024,Na h-Eileanan Siar,3729
S01009025,Na h-Eileanan Siar,2423
S01009026,Na h-Eileanan Siar,3371
S01009027,Na h-Eileanan Siar,2654
S01009028,Na h-Eileanan Siar,3119
S01009029,Na h-Eileanan Siar,2564
S01009030,Na h-Eileanan Siar,2806
S01009031,Na h-Eileanan Siar,2928
S01009032,Na h-Eileanan Siar,3834
S01009033,Na h-Eileanan Siar,3543
S01009034,Na h-Eileanan Siar,3291
S01009035,Na h-Eileanan Siar,4116
S01009036,Na h-Eileanan Siar,3689
S01009037,Na h-Eileanan Siar,3283
S01009038,Na h-Eileanan Siar,3552
S01009039,Na h-Eileanan Siar,1924
S01009040,Na h-Eileanan Siar,2777
S01009157,Falkirk,3159
S01009041,Na h-Eileanan Siar,2112
S01009158,Falkirk,2797
S01009042,Na h-Eileanan Siar,3744
S01009159,Falkirk,232
S01009043,Na h-Eileanan Siar,4188
S01009160,Falkirk,1881
S01009044,Na h-Eileanan Siar,3327
S01009161,Falkirk,464
S01009045,Na h-Eileanan Siar,4316
S01009162,Falkirk,666
S01009046,Na h-Eileanan Siar,4611
S01009163,Falkirk,2506
S01009047,Na h-Eileanan Siar,4181
S01009164,Falkirk,2490
S01009048,Na h-Eileanan Siar,3527
S01009165,Falkirk,1066
S01009049,Na h-Eileanan Siar,3310
S01009166,Falkirk,863
S01009050,Falkirk,3329
S01009051,Falkirk,3778
S01009167,Falkirk,1394
S01009168,Falkirk,5654
S01009052,Falkirk,4607
S01009053,Falkirk,230
S01009169,Falkirk,1903
S01009054,Falkirk,2879
S01009170,Falkirk,1517
S01009055,Falkirk,4576
S01009171,Falkirk,2611
S01009056,Falkirk,1640
S01009172,Falkirk,6801
S01009057,Falkirk,1271
S01009173,Falkirk,5975
S01009058,Falkirk,2253
S01009174,Falkirk,6268
S01009059,Falkirk,3247
S01009175,Falkirk,6231
S01009060,Falkirk,6729
S01009176,Falkirk,4672
S01009061,Falkirk,3682
S01009177,Falkirk,1316
S01009062,Falkirk,1543
S01009178,Falkirk,926
S01009063,Falkirk,4955
S01009179,Falkirk,1860
S01009064,Falkirk,2749
S01009180,Falkirk,2011
S01009065,Falkirk,1007
S01009181,Falkirk,3050
S01009066,Falkirk,2136
