dzlabel,lalabel,rank
S01006705,Aberdeen City,2128
S01006706,Aberdeen City,2674
S01006707,Aberdeen City,1051
S01006708,Aberdeen City,3080
S01006709,Aberdeen City,2641
S01006710,Aberdeen City,3077
S01006711,Aberdeen City,1147
S01006712,Aberdeen City,3462
S01006713,Aberdeen City,2426
S01006714,Aberdeen City,2819
S01006715,Aberdeen City,1499
S01006716,Aberdeen City,1682
S01006717,Aberdeen City,2218
S01006718,Aberdeen City,2263
S01006719,Aberdeen City,2023
S01006720,Aberdeen City,1657
S01006721,Aberdeen City,1950
S01006722,Aberdeen City,2419
S01006723,Aberdeen City,2362
S01006724,Aberdeen City,785
S01006725,Aberdeen City,1713
S01006726,Aberdeen City,1071
S01006727,Aberdeen City,893
S01006728,Aberdeen City,2461
S01006729,Aberdeen City,878
S01006730,Aberdeen City,2758
S01006731,Aberdeen City,1616
S01006732,Aberdeen City,5050
S01006733,Aberdeen City,6896
S01006734,Aberdeen City,6826
S01006735,Aberdeen City,6813
S01006736,Aberdeen City,6241
S01006737,Aberdeen City,6071
S01006813,Aberdeenshire,4326
S01006814,Aberdeenshire,6121
S01006738,Aberdeen City,4852
S01006815,Aberdeenshire,4167
S01006739,Aberdeen City,5019
S01006816,Aberdeenshire,5168
S01006740,Aberdeen City,3278
S01006817,Aberdeenshire,4673
S01006741,Aberdeen City,3072
S01006818,Aberdeenshire,5306
S01006742,Aberdeen City,3845
S01006819,Aberdeenshire,5286
S01006743,Aberdeen City,5059
S01006820,Aberdeenshire,5990
S01006744,Aberdeen City,4542
S01006821,Aberdeenshire,5535
S01006745,Aberdeen City,2815
S01006822,Aberdeenshire,5436
S01006746,Aberdeen City,3518
S01006823,Aberdeenshire,6506
S01006747,Aberdeen City,6073
S01006748,Aberdeen City,6018
S01006824,Aberdeenshire,3017
S01006825,Aberdeenshire,5854
S01006749,Aberdeen City,4308
S01006826,Aberdeenshire,6015
S01006750,Aberdeen City,3423
S01006827,Aberdeenshire,4465
S01006751,Aberdeen City,3814
S01006828,Aberdeenshire,5265
S01006752,Aberdeen City,3669
S01006829,Aberdeenshire,6563
S01006753,Aberdeen City,6224
S01006830,Aberdeenshire,5324
S01006754,Aberdeen City,6515
S01006755,Aberdeen City,4982
S01006831,Aberdeenshire,6765
S01006832,Aberdeenshire,6383
S01006756,Aberdeen City,5830
S01006833,Aberdeenshire,6957
S01006757,Aberdeen City,6738
S01006758,Aberdeen City,6858
S01006834,Aberdeenshire,6829
S01006759,Aberdeen City,6743
S01006835,Aberdeenshire,4447
S01006836,Aberdeenshire,6385
S01006760,Aberdeen City,6919
S01006837,Aberdeenshire,5859
S01006761,Aberdeen City,6821
S01006838,Aberdeenshire,6431
S01006762,Aberdeen City,5311
S01006839,Aberdeenshire,4856
S01006763,Aberdeen City,6635
S01006840,Aberdeenshire,6220
S01006764,Aberdeen City,6638
S01006841,Aberdeenshire,5818
S01006765,Aberdeen City,5911
S01006842,Aberdeenshire,6598
S01006766,Aberdeen City,6575
S01006843,Aberdeenshire,6845
S01006767,Aberdeen City,6067
S01006844,Aberdeenshire,6615
S01006768,Aberdeen City,6943
S01006845,Aberdeenshire,6592
S01006769,Aberdeen City,5111
S01006846,Aberdeenshire,5112
S01006770,Aberdeen City,6148
S01006847,Aberdeenshire,6184
S01006771,Aberdeen City,6698
S01006848,Aberdeenshire,4793
S01006772,Aberdeen City,6578
S01006849,Aberdeenshire,6120
S01006773,Aberdeen City,6386
S01006850,Aberdeenshire,4093
S01006774,Aberdeen City,6562
S01006851,Aberdeenshire,4322
S01006775,Aberdeen City,4235
S01006852,Aberdeenshire,5982
S01006776,Aberdeen City,3915
S01006853,Aberdeenshire,5503
S01006777,Aberdeen City,6876
S01006854,Aberdeenshire,5448
S01006778,Aberdeen City,5296
S01006855,Aberdeenshire,5260
S01006779,Aberdeen City,2627
S01006856,Aberdeenshire,5698
S01006780,Aberdeen City,5850
S01006857,Aberdeenshire,5556
S01006781,Aberdeen City,6670
S01006858,Aberdeenshire,5198
S01006782,Aberdeen City,5925
S01006859,Aberdeenshire,6660
S01006783,Aberdeen City,4910
S01006860,Aberdeenshire,3935
S01006784,Aberdeen City,6742
S01006861,Aberdeenshire,6394
S01006785,Aberdeen City,6539
S01006862,Aberdeenshire,6147
S01006786,Aberdeen City,6182
S01006863,Aberdeenshire,6023
S01006787,Aberdeen City,5651
S01006864,Aberdeenshire,5942
S01006788,Aberdeen City,4202
S01006865,Aberdeenshire,6782
S01006789,Aberdeenshire,6032
S01006866,Aberdeenshire,6933
S01006790,Aberdeenshire,5440
S01006867,Aberdeenshire,6878
S01006791,Aberdeenshire,3599
S01006868,Aberdeenshire,5261
S01006792,Aberdeenshire,4665
S01006869,Aberdeenshire,5351
S01006793,Aberdeenshire,6289
S01006870,Aberdeenshire,6888
S01006794,Aberdeenshire,3986
S01006871,Aberdeenshire,6326
S01006795,Aberdeenshire,5775
S01006872,Aberdeenshire,5741
S01006796,Aberdeenshire,5626
S01006873,Aberdeenshire,5844
S01006797,Aberdeenshire,5400
S01006874,Aberdeenshire,5246
S01006798,Aberdeenshire,4745
S01006875,Aberdeenshire,5583
S01006799,Aberdeenshire,5378
S01006876,Aberdeenshire,5492
S01006800,Aberdeenshire,6190
S01006877,Aberdeenshire,5163
S01006801,Aberdeenshire,6052
S01006878,Aberdeenshire,3402
S01006802,Aberdeenshire,4602
S01006879,Aberdeenshire,5004
S01006803,Aberdeenshire,4844
S01006880,Aberdeenshire,5967
S01006804,Aberdeenshire,5816
S01006881,Aberdeenshire,5834
S01006805,Aberdeenshire,4802
S01006882,Aberdeenshire,5322
S01006806,Aberdeenshire,4848
S01006883,Aberdeenshire,6091
S01006807,Aberdeenshire,4037
S01006884,Aberdeenshire,6485
S01006808,Aberdeenshire,5349
S01006885,Aberdeenshire,5021
S01006809,Aberdeenshire,3478
S01006886,Aberdeenshire,5319
S01006810,Aberdeenshire,3921
S01006887,Aberdeenshire,6381
S01006811,Aberdeenshire,5372
S01006888,Aberdeenshire,5184
S01006812,Aberdeenshire,4860
S01006889,Aberdeenshire,3101
S01006890,Aberdeenshire,6852
S01006891,Aberdeenshire,5799
S01006892,Aberdeenshire,3204
S01006893,Aberdeenshire,5526
S01006894,Aberdeenshire,5173
S01006895,Aberdeenshire,4619
S01006896,Aberdeenshire,5293
S01006897,Aberdeenshire,6516
S01006898,Aberdeenshire,5078
S01006899,Aberdeenshire,6871
S01006900,Aberdeenshire,6513
S01006901,Aberdeenshire,4484
S01006902,Aberdeenshire,3918
S01006903,Aberdeenshire,2681
S01006904,Aberdeenshire,5227
S01006905,Aberdeenshire,5669
S01006906,Aberdeenshire,2652
S01006907,Aberdeenshire,4547
S01006908,Aberdeenshire,4630
S01006909,Aberdeenshire,6401
S01006910,Aberdeenshire,6308
S01006911,Aberdeenshire,6460
S01006912,Aberdeenshire,5589
S01006913,Aberdeenshire,5895
S01006914,Aberdeenshire,5979
S01006915,Aberdeenshire,5228
S01006916,Aberdeenshire,6202
S01006917,Aberdeenshire,6577
S01006918,Aberdeenshire,6035
S01006919,Aberdeenshire,5868
S01006920,Aberdeenshire,5252
S01006921,Aberdeenshire,6734
S01006922,Aberdeenshire,5085
S01006923,Aberdeenshire,5658
S01006924,Aberdeenshire,4234
S01006925,Aberdeenshire,5956
S01006926,Aberdeenshire,5663
S01006927,Aberdeenshire,5887
S01006928,Aberdeenshire,5028
S01006929,Aberdeenshire,6559
S01006930,Aberdeenshire,6942
S01006931,Aberdeenshire,4913
S01006932,Aberdeenshire,6364
S01006933,Aberdeenshire,6945
S01006934,Aberdeenshire,5263
S01006935,Aberdeenshire,6964
S01006936,Aberdeenshire,6442
S01006937,Aberdeenshire,6597
S01006938,Aberdeenshire,6129
S01006939,Aberdeenshire,6914
S01006940,Aberdeenshire,6867
S01006941,Aberdeenshire,6090
S01006942,Aberdeenshire,5367
S01006943,Aberdeenshire,6713
S01006944,Aberdeenshire,6245
S01006945,Aberdeenshire,6816
S01006946,Aberdeenshire,5659
S01006947,Aberdeenshire,5921
S01006948,Aberdeenshire,5254
S01006949,Aberdeenshire,5567
S01006950,Aberdeenshire,4885
S01006951,Aberdeenshire,5551
S01006952,Aberdeenshire,3906
S01006953,Aberdeenshire,5886
S01006969,Aberdeenshire,5023
S01006954,Aberdeenshire,5113
S01006970,Aberdeenshire,6747
S01006955,Aberdeenshire,4301
S01006971,Aberdeenshire,4133
S01006956,Aberdeenshire,5993
S01006972,Aberdeenshire,5482
S01006957,Aberdeenshire,5800
S01006973,Aberdeenshire,5471
S01006958,Aberdeenshire,6685
S01006974,Aberdeenshire,5973
S01006959,Aberdeenshire,3489
S01006975,Aberdeenshire,4976
S01006960,Aberdeenshire,6641
S01006976,Aberdeenshire,5767
S01006961,Aberdeenshire,6573
S01006977,Aberdeenshire,3752
S01006962,Aberdeenshire,6680
S01006978,Aberdeenshire,5199
S01006963,Aberdeenshire,6226
S01006979,Aberdeenshire,5721
S01006964,Aberdeenshire,5610
S01006980,Aberdeenshire,5403
S01006965,Aberdeenshire,6297
S01006981,Aberdeenshire,5555
S01006966,Aberdeenshire,3756
S01006982,Aberdeenshire,6518
S01006967,Aberdeenshire,6770
S01006983,Aberdeenshire,5672
S01006968,Aberdeenshire,5532
S01006984,Aberdeenshire,5802
S01006985,Aberdeenshire,6694
S01006986,Aberdeenshire,5824
S01006987,Aberdeenshire,5397
S01006988,Aberdeenshire,4894
S01006989,Aberdeenshire,5930
S01006990,Aberdeenshire,6467
S01006991,Aberdeenshire,4063
S01006992,Aberdeenshire,4831
S01006993,Aberdeenshire,3849
S01006994,Aberdeenshire,3352
S01006995,Aberdeenshire,5203
S01006996,Aberdeenshire,5639
S01006997,Aberdeenshire,5730
S01006998,Aberdeenshire,5421
S01006999,Aberdeenshire,4504
S01007000,Aberdeenshire,5329
S01007001,Aberdeenshire,5174
S01007002,Aberdeenshire,4122
S01007003,Aberdeenshire,5149
S01007004,Aberdeenshire,4759
S01007005,Aberdeenshire,5694
S01007006,Aberdeenshire,4140
S01007007,Aberdeenshire,4072
S01007008,Aberdeenshire,3634
S01007009,Aberdeenshire,4151
S01007010,Aberdeenshire,6330
S01007011,Aberdeenshire,2717
S01007012,Aberdeenshire,1927
S01007013,Aberdeenshire,3239
S01007014,Aberdeenshire,5591
S01007015,Aberdeenshire,3903
S01007016,Aberdeenshire,4395
S01007017,Aberdeenshire,3368
S01007018,Aberdeenshire,5353
S01007019,Aberdeenshire,3712
S01007020,Aberdeenshire,4603
S01007021,Aberdeenshire,4774
S01007022,Aberdeenshire,6352
S01007023,Aberdeenshire,4525
S01007024,Aberdeenshire,3482
S01007025,Aberdeenshire,3016
S01007026,Aberdeenshire,4433
S01007027,Aberdeenshire,3182
S01007028,Aberdeenshire,3364
S01007029,Aberdeenshire,4011
S01007030,Aberdeenshire,3924
S01007031,Aberdeenshire,2740
S01007032,Aberdeenshire,2369
S01007033,Aberdeenshire,3321
S01007034,Aberdeenshire,3328
S01007035,Aberdeenshire,1876
S01007036,Aberdeenshire,4623
S01007037,Aberdeenshire,3561
S01007038,Aberdeenshire,3149
S01007039,Aberdeenshire,2940
S01007040,Aberdeenshire,3806
S01007041,Aberdeenshire,3862
S01007042,Aberdeenshire,3647
S01007043,Aberdeenshire,4373
S01007044,Aberdeenshire,4233
S01007045,Aberdeenshire,2821
